EmployeeID,Age,Gender,Education Level,Job Title,Years of Experience,Salary
1040,49.0,Male,Bachelor's Degree,Sales Executive,21.0,160000.0
1041,34.0,Female,Master's Degree,Ux Designer,5.0,80000.0
1042,48.0,Male,Master's Degree,Operations Director,18.0,190000.0
1043,30.0,Male,Bachelor's Degree,Network Engineer,3.0,60000.0
1044,36.0,Female,Bachelor's Degree,Administrative Assistant,8.0,45000.0
1045,41.0,Male,Master's Degree,Strategy Consultant,13.0,130000.0
1046,28.0,Female,Bachelor's Degree,Copywriter,2.0,40000.0
1047,32.0,Male,Bachelor's Degree,Account Manager,5.0,75000.0
1048,45.0,Female,Master's Degree,Director Of Marketing,16.0,180000.0
1049,38.0,Male,PhD,Senior Scientist,11.0,120000.0
1050,25.0,Male,Bachelor's Degree,Help Desk Analyst,0.0,35000.0
1051,51.0,Female,Bachelor's Degree,Customer Service Manager,22.0,130000.0
1052,33.0,Male,Master's Degree,Business Intelligence Analyst,7.0,85000.0
1053,40.0,Female,Bachelor's Degree,Event Coordinator,12.0,60000.0
1054,47.0,Male,Master's Degree,Vp Of Finance,19.0,200000.0
1055,29.0,Female,Bachelor's Degree,Graphic Designer,3.0,50000.0
1056,36.0,Male,Bachelor's Degree,Sales Manager,9.0,95000.0
1057,27.0,Female,Master's Degree,Ux Researcher,2.0,65000.0
1058,43.0,Male,PhD,Senior Engineer,17.0,140000.0
1059,30.0,Female,Bachelor's Degree,Social Media Manager,4.0,55000.0
1060,35.0,Male,Master's Degree,Product Manager,7.0,105000.0
1061,51.0,Female,Master's Degree,Director Of Operations,23.0,170000.0
1062,29.0,Male,Bachelor's Degree,Marketing Analyst,3.0,50000.0
1063,40.0,Female,Bachelor's Degree,Hr Manager,12.0,80000.0
1064,47.0,Male,PhD,Senior Data Scientist,21.0,180000.0
1065,26.0,Male,Bachelor's Degree,Junior Accountant,1.0,35000.0
1066,38.0,Female,Master's Degree,Digital Marketing Manager,10.0,90000.0
1067,46.0,Male,Bachelor's Degree,It Manager,19.0,120000.0
1068,31.0,Female,Bachelor's Degree,Customer Service Representative,5.0,45000.0
1069,34.0,Male,Master's Degree,Business Development Manager,8.0,90000.0
1070,49.0,Female,Master's Degree,Senior Financial Analyst,18.0,150000.0
1071,33.0,Male,Bachelor's Degree,Web Developer,6.0,65000.0
1072,39.0,Female,Bachelor's Degree,Recruiter,11.0,70000.0
1073,45.0,Male,PhD,Research Director,16.0,190000.0
1074,28.0,Male,Bachelor's Degree,Technical Support Specialist,2.0,40000.0
1075,42.0,Female,Master's Degree,Creative Director,14.0,120000.0
1076,37.0,Male,Bachelor's Degree,Project Manager,10.0,95000.0
1077,50.0,Female,Bachelor's Degree,Operations Manager,22.0,160000.0
1078,32.0,Male,Master's Degree,Senior Software Engineer,6.0,100000.0
1079,48.0,Female,Master's Degree,Human Resources Director,20.0,180000.0
1080,30.0,Female,Bachelor's Degree,Content Marketing Manager,3.0,55000.0
1081,36.0,Male,Bachelor's Degree,Technical Recruiter,8.0,70000.0
1082,41.0,Female,Master's Degree,Data Analyst,13.0,80000.0
1083,25.0,Male,Bachelor's Degree,Sales Representative,0.0,30000.0
1084,52.0,Male,PhD,Chief Technology Officer,24.0,250000.0
1085,29.0,Female,Bachelor's Degree,Junior Designer,2.0,40000.0
1086,34.0,Female,Master's Degree,Financial Advisor,10.0,95000.0
1087,27.0,Male,Bachelor's Degree,Junior Account Manager,2.0,45000.0
1088,40.0,Female,Bachelor's Degree,Hr Generalist,15.0,80000.0
1089,46.0,Male,Master's Degree,Senior Project Manager,21.0,135000.0
1090,31.0,Female,Bachelor's Degree,Marketing Coordinator,6.0,55000.0
1091,36.0,Male,PhD,Principal Scientist,11.0,120000.0
1092,29.0,Female,Bachelor's Degree,Sales Associate,3.0,40000.0
1093,43.0,Male,Bachelor's Degree,Supply Chain Manager,18.0,105000.0
1094,52.0,Female,Master's Degree,Senior Marketing Manager,25.0,170000.0
1095,33.0,Male,Bachelor's Degree,Business Analyst,7.0,75000.0
1096,39.0,Female,Bachelor's Degree,Training Specialist,12.0,65000.0
1097,47.0,Male,PhD,Research Scientist,22.0,160000.0
1098,26.0,Male,Bachelor's Degree,Junior Software Developer,1.0,35000.0
1099,38.0,Female,Master's Degree,Public Relations Manager,10.0,90000.0
1100,45.0,Male,Bachelor's Degree,Operations Analyst,20.0,110000.0
1101,31.0,Female,Bachelor's Degree,Event Coordinator,5.0,45000.0
1102,35.0,Male,Master's Degree,Product Marketing Manager,8.0,95000.0
1103,49.0,Female,Master's Degree,Senior Hr Manager,19.0,150000.0
1104,33.0,Male,Bachelor's Degree,Junior Web Developer,5.0,50000.0
1105,39.0,Female,Master's Degree,Senior Project Coordinator,13.0,80000.0
1106,44.0,Male,PhD,Chief Data Officer,16.0,220000.0
1107,30.0,Female,Bachelor's Degree,Digital Content Producer,3.0,50000.0
1108,36.0,Male,Bachelor's Degree,It Support Specialist,7.0,60000.0
1109,41.0,Female,Master's Degree,Senior Marketing Analyst,14.0,100000.0
1110,28.0,Male,Bachelor's Degree,Customer Success Manager,2.0,40000.0
1111,42.0,Female,Master's Degree,Senior Graphic Designer,15.0,110000.0
1112,37.0,Male,Bachelor's Degree,Software Project Manager,9.0,95000.0
1113,50.0,Female,Bachelor's Degree,Supply Chain Analyst,22.0,130000.0
1114,32.0,Male,Master's Degree,Senior Business Analyst,6.0,90000.0
1115,23.0,Female,Bachelor's Degree,Junior Marketing Analyst,0.5,35000.0
1116,31.0,Male,Master's Degree,Senior Financial Analyst,6.0,95000.0
1117,40.0,Female,Bachelor's Degree,Office Manager,15.0,65000.0
1118,48.0,Male,PhD,Principal Engineer,20.0,170000.0
1119,29.0,Female,Bachelor's Degree,Junior Hr Generalist,3.0,45000.0
1120,35.0,Male,Master's Degree,Senior Product Manager,10.0,120000.0
1121,42.0,Female,Bachelor's Degree,Sales Manager,17.0,100000.0
1122,53.0,Male,Master's Degree,Director Of Marketing,25.0,180000.0
1123,33.0,Female,Bachelor's Degree,Junior Operations Analyst,5.0,50000.0
1124,38.0,Male,Bachelor's Degree,Customer Service Manager,11.0,80000.0
1125,44.0,Female,PhD,Senior Scientist,16.0,140000.0
1126,26.0,Male,Bachelor's Degree,Junior Accountant,2.0,40000.0
1127,37.0,Female,Master's Degree,Senior Hr Generalist,9.0,95000.0
1128,45.0,Male,Bachelor's Degree,Sales Operations Manager,18.0,110000.0
1129,32.0,Female,Bachelor's Degree,Marketing Coordinator,4.0,50000.0
1130,34.0,Male,Master's Degree,Senior Software Developer,8.0,105000.0
1131,50.0,Female,Master's Degree,Director Of Operations,21.0,160000.0
1132,29.0,Male,Bachelor's Degree,Junior Web Designer,3.0,45000.0
1133,40.0,Female,Master's Degree,Senior Training Specialist,12.0,100000.0
1134,47.0,Male,PhD,Senior Research Scientist,22.0,160000.0
1135,27.0,Male,Bachelor's Degree,Junior Sales Representative,1.0,35000.0
1136,39.0,Female,Bachelor's Degree,Administrative Assistant,10.0,55000.0
1137,46.0,Male,Master's Degree,Senior Project Manager,19.0,140000.0
1138,30.0,Female,Bachelor's Degree,Junior Marketing Manager,4.0,50000.0
1139,36.0,Male,Bachelor's Degree,Junior Data Analyst,7.0,60000.0
1140,43.0,Female,Master's Degree,Senior Product Marketing Manager,14.0,120000.0
1141,28.0,Male,Bachelor's Degree,Junior Business Analyst,2.0,40000.0
1142,41.0,Female,Master's Degree,Senior Marketing Manager,13.0,110000.0
1143,33.0,Male,Bachelor's Degree,Junior Software Developer,5.0,50000.0
1144,47.0,Male,Bachelor's Degree,Senior Sales Manager,20.0,135000.0
1145,25.0,Female,Master's Degree,Junior Marketing Specialist,1.5,40000.0
1146,34.0,Male,Bachelor's Degree,Senior Business Analyst,8.0,90000.0
1147,42.0,Female,PhD,Senior Data Scientist,16.0,150000.0
1148,31.0,Male,Bachelor's Degree,Junior Project Manager,4.0,60000.0
1149,38.0,Female,Bachelor's Degree,Senior Accountant,10.0,80000.0
1150,45.0,Male,Master's Degree,Director Of Sales,19.0,175000.0
1151,29.0,Female,Bachelor's Degree,Junior Recruiter,3.0,45000.0
1152,36.0,Male,Master's Degree,Senior Business Development Manager,11.0,120000.0
1153,43.0,Female,PhD,Senior Product Designer,18.0,140000.0
1154,26.0,Male,Bachelor's Degree,Junior Customer Support Specialist,2.0,35000.0
1155,37.0,Female,Master's Degree,Senior Marketing Analyst,9.0,95000.0
1156,44.0,Male,Bachelor's Degree,Senior It Support Specialist,14.0,110000.0
1157,32.0,Female,Bachelor's Degree,Junior Financial Analyst,5.0,50000.0
1158,33.0,Male,Master's Degree,Senior Operations Manager,7.0,115000.0
1159,51.0,Female,PhD,Director Of Human Resources,23.0,185000.0
1160,28.0,Male,Bachelor's Degree,Junior Software Engineer,2.0,40000.0
1161,39.0,Female,Bachelor's Degree,Senior Sales Representative,12.0,90000.0
1162,48.0,Male,Master's Degree,Director Of Product Management,21.0,175000.0
1163,30.0,Female,Bachelor's Degree,Junior Copywriter,3.0,45000.0
1164,35.0,Male,Bachelor's Degree,Senior Marketing Coordinator,7.0,80000.0
1165,41.0,Female,Master's Degree,Senior Human Resources Manager,13.0,120000.0
1166,27.0,Male,Bachelor's Degree,Junior Business Development Associate,1.5,35000.0
1167,40.0,Female,Bachelor's Degree,Senior Account Manager,14.0,110000.0
1168,46.0,Male,PhD,Senior Researcher,18.0,150000.0
1169,31.0,Female,Bachelor's Degree,Junior Hr Coordinator,4.0,50000.0
1170,34.0,Male,Master's Degree,Senior Software Engineer,9.0,105000.0
1171,50.0,Female,Master's Degree,Director Of Finance,20.0,180000.0
1172,29.0,Male,Bachelor's Degree,Junior Marketing Coordinator,2.0,40000.0
1174,43.0,Male,Bachelor's Degree,Senior Project Manager,16.0,140000.0
1175,26.0,Female,Master's Degree,Junior Data Scientist,1.5,45000.0
1176,35.0,Male,Bachelor's Degree,Senior Operations Analyst,7.0,85000.0
1177,42.0,Female,PhD,Senior Marketing Manager,18.0,140000.0
1178,31.0,Male,Bachelor's Degree,Junior Accountant,4.0,50000.0
1179,38.0,Female,Bachelor's Degree,Senior Human Resources Coordinator,10.0,80000.0
1180,46.0,Male,Master's Degree,Director Of Operations,20.0,170000.0
1181,29.0,Female,Bachelor's Degree,Junior Sales Representative,2.0,40000.0
1182,37.0,Male,Master's Degree,Senior Business Analyst,9.0,105000.0
1183,44.0,Female,PhD,Senior Ux Designer,15.0,145000.0
1184,27.0,Male,Bachelor's Degree,Junior Product Manager,2.0,40000.0
1185,36.0,Female,Bachelor's Degree,Senior Marketing Specialist,8.0,85000.0
1186,43.0,Male,Bachelor's Degree,Senior It Project Manager,14.0,130000.0
1187,33.0,Female,Master's Degree,Senior Financial Analyst,6.0,95000.0
1188,34.0,Male,Bachelor's Degree,Senior Quality Assurance Analyst,9.0,100000.0
1189,50.0,Female,PhD,Director Of Sales And Marketing,22.0,180000.0
1190,28.0,Male,Bachelor's Degree,Junior Operations Analyst,1.5,35000.0
1191,39.0,Female,Bachelor's Degree,Senior Account Executive,12.0,95000.0
1192,47.0,Male,Master's Degree,Director Of Business Development,19.0,170000.0
1193,30.0,Female,Bachelor's Degree,Junior Social Media Manager,3.0,45000.0
1194,34.0,Male,Bachelor's Degree,Senior Product Manager,7.0,95000.0
1195,40.0,Female,Master's Degree,Senior Human Resources Specialist,13.0,120000.0
1196,28.0,Male,Bachelor's Degree,Junior Business Analyst,2.0,40000.0
1197,41.0,Female,Bachelor's Degree,Senior Marketing Coordinator,11.0,90000.0
1198,45.0,Male,PhD,Senior Data Analyst,17.0,155000.0
1199,32.0,Female,Bachelor's Degree,Junior Account Manager,5.0,55000.0
1200,35.0,Male,Master's Degree,Senior Software Developer,9.0,110000.0
1201,49.0,Female,Master's Degree,Director Of Human Capital,21.0,180000.0
1202,30.0,Male,Bachelor's Degree,Junior Advertising Coordinator,3.0,45000.0
1203,44.0,Male,Bachelor's Degree,Senior Sales Manager,16.0,130000.0
1204,27.0,Female,Master's Degree,Junior Ux Designer,1.5,45000.0
1205,36.0,Male,Bachelor's Degree,Senior Accountant,7.0,90000.0
1206,41.0,Female,PhD,Senior Marketing Director,17.0,160000.0
1207,31.0,Male,Bachelor's Degree,Junior Hr Generalist,4.0,50000.0
1208,39.0,Female,Bachelor's Degree,Senior Operations Manager,10.0,120000.0
1209,47.0,Male,Master's Degree,Director Of Finance,20.0,170000.0
1210,30.0,Female,Bachelor's Degree,Junior Marketing Coordinator,2.0,40000.0
1211,38.0,Male,Master's Degree,Senior It Consultant,9.0,110000.0
1212,45.0,Female,PhD,Senior Product Designer,15.0,150000.0
1213,28.0,Male,Bachelor's Degree,Junior Business Development Associate,2.0,40000.0
1214,35.0,Female,Bachelor's Degree,Senior Marketing Analyst,8.0,85000.0
1215,44.0,Male,Bachelor's Degree,Senior Software Engineer,14.0,130000.0
1216,34.0,Female,Master's Degree,Senior Financial Advisor,6.0,100000.0
1217,35.0,Male,Bachelor's Degree,Senior Project Coordinator,9.0,95000.0
1218,50.0,Female,PhD,Director Of Operations,22.0,180000.0
1219,29.0,Male,Bachelor's Degree,Junior Business Operations Analyst,1.5,35000.0
1220,40.0,Female,Bachelor's Degree,Senior Sales Representative,12.0,100000.0
1221,48.0,Male,Master's Degree,Director Of Marketing,19.0,170000.0
1222,31.0,Female,Bachelor's Degree,Junior Social Media Specialist,3.0,45000.0
1223,33.0,Male,Bachelor's Degree,Senior Product Development Manager,7.0,100000.0
1224,42.0,Female,Master's Degree,Senior Human Resources Manager,13.0,140000.0
1225,28.0,Male,Bachelor's Degree,Junior Financial Analyst,2.0,40000.0
1226,40.0,Female,Bachelor's Degree,Senior Marketing Manager,11.0,105000.0
1227,46.0,Male,PhD,Senior Data Scientist,18.0,160000.0
1228,33.0,Female,Bachelor's Degree,Junior Operations Manager,5.0,70000.0
1229,37.0,Male,Master's Degree,Senior Software Architect,9.0,120000.0
1230,51.0,Female,Master's Degree,Director Of Human Resources,21.0,190000.0
1231,30.0,Male,Bachelor's Degree,Junior Marketing Specialist,3.0,45000.0
1232,43.0,Male,Bachelor's Degree,Senior Project Manager,15.0,120000.0
1233,27.0,Female,Master's Degree,Junior Research Scientist,1.5,50000.0
1234,35.0,Male,Bachelor's Degree,Senior Operations Analyst,8.0,85000.0
1235,42.0,Female,PhD,Senior Marketing Manager,13.0,140000.0
1236,32.0,Male,Bachelor's Degree,Junior Sales Representative,3.0,45000.0
1237,37.0,Female,Bachelor's Degree,Senior Financial Analyst,9.0,100000.0
1238,45.0,Male,Master's Degree,Senior Software Developer,16.0,140000.0
1239,33.0,Female,Bachelor's Degree,Junior Operations Analyst,5.0,70000.0
1240,39.0,Male,Bachelor's Degree,Senior Marketing Specialist,10.0,120000.0
1241,44.0,Female,PhD,Senior Hr Manager,18.0,160000.0
1242,29.0,Male,Bachelor's Degree,Junior Business Analyst,1.5,40000.0
1243,38.0,Female,Bachelor's Degree,Senior Product Manager,10.0,120000.0
1244,46.0,Male,PhD,Senior Data Analyst,19.0,150000.0
1245,34.0,Female,Bachelor's Degree,Junior Marketing Analyst,6.0,70000.0
1246,36.0,Male,Bachelor's Degree,Senior Operations Manager,8.0,95000.0
1247,49.0,Female,Master's Degree,Director Of Marketing,21.0,180000.0
1248,31.0,Male,Bachelor's Degree,Junior Financial Analyst,3.0,50000.0
1249,41.0,Female,Bachelor's Degree,Senior Project Coordinator,11.0,95000.0
1250,47.0,Male,Master's Degree,Director Of Operations,20.0,170000.0
1251,30.0,Female,Bachelor's Degree,Junior Marketing Coordinator,2.0,40000.0
1252,38.0,Male,Master's Degree,Senior It Consultant,9.0,110000.0
1253,45.0,Female,PhD,Senior Product Designer,15.0,150000.0
1254,28.0,Male,Bachelor's Degree,Junior Business Development Associate,2.0,40000.0
1255,35.0,Female,Bachelor's Degree,Senior Marketing Analyst,8.0,85000.0
1256,44.0,Male,Bachelor's Degree,Senior Software Engineer,14.0,130000.0
1257,34.0,Female,Master's Degree,Senior Financial Advisor,6.0,100000.0
1258,35.0,Male,Bachelor's Degree,Senior Project Coordinator,9.0,95000.0
1259,50.0,Female,PhD,Director Of Operations,22.0,180000.0
1260,29.0,Male,Bachelor's Degree,Junior Business Operations Analyst,1.5,35000.0
1262,37.0,Female,Bachelor's Degree,Senior Financial Manager,10.0,120000.0
1263,46.0,Male,PhD,Senior Data Scientist,18.0,160000.0
1264,31.0,Female,Bachelor's Degree,Junior Marketing Coordinator,3.0,50000.0
1265,42.0,Male,Bachelor's Degree,Senior Operations Manager,12.0,110000.0
1266,29.0,Female,Bachelor's Degree,Junior Sales Representative,1.5,40000.0
1267,36.0,Male,Bachelor's Degree,Senior Marketing Specialist,8.0,95000.0
1268,44.0,Female,Master's Degree,Senior Hr Specialist,15.0,140000.0
1269,33.0,Male,Bachelor's Degree,Junior Operations Manager,4.0,60000.0
1270,39.0,Female,Bachelor's Degree,Senior Marketing Coordinator,9.0,110000.0
1271,45.0,Male,PhD,Senior Data Engineer,16.0,150000.0
1272,32.0,Female,Bachelor's Degree,Junior Marketing Manager,4.0,60000.0
1273,37.0,Male,Bachelor's Degree,Senior Financial Analyst,8.0,90000.0
1274,47.0,Female,Master's Degree,Director Of Marketing,20.0,180000.0
1275,30.0,Male,Bachelor's Degree,Junior Business Analyst,2.0,40000.0
1276,38.0,Female,Bachelor's Degree,Senior Project Manager,9.0,120000.0
1277,46.0,Male,PhD,Senior Data Analyst,17.0,160000.0
1278,34.0,Female,Bachelor's Degree,Junior Financial Analyst,5.0,70000.0
1279,36.0,Male,Bachelor's Degree,Senior Product Manager,8.0,95000.0
1280,49.0,Female,Master's Degree,Director Of Operations,21.0,180000.0
1281,31.0,Male,Bachelor's Degree,Junior Operations Analyst,3.0,50000.0
1282,41.0,Female,Bachelor's Degree,Senior Project Coordinator,11.0,95000.0
1283,47.0,Male,Master's Degree,Director Of Marketing,19.0,170000.0
1284,29.0,Female,Bachelor's Degree,Junior Business Development Associate,1.5,35000.0
1285,35.0,Male,Bachelor's Degree,Senior Financial Manager,9.0,100000.0
1286,44.0,Female,PhD,Senior Product Designer,15.0,150000.0
1287,33.0,Male,Bachelor's Degree,Junior Business Analyst,4.0,60000.0
1288,35.0,Female,Bachelor's Degree,Senior Marketing Analyst,8.0,85000.0
1289,44.0,Male,Bachelor's Degree,Senior Software Engineer,13.0,130000.0
1290,32.0,Male,Bachelor's Degree,Junior Product Manager,4.0,65000.0
1291,38.0,Female,Bachelor's Degree,Senior Business Analyst,10.0,110000.0
1292,49.0,Male,PhD,Director Of Operations,21.0,180000.0
1293,29.0,Female,Bachelor's Degree,Junior Marketing Specialist,2.0,40000.0
1294,35.0,Male,Bachelor's Degree,Senior Business Development Manager,7.0,90000.0
1295,45.0,Female,Master's Degree,Senior Hr Manager,14.0,140000.0
1296,33.0,Male,Bachelor's Degree,Junior Financial Analyst,4.0,60000.0
1297,40.0,Female,Bachelor's Degree,Senior Marketing Manager,12.0,130000.0
1298,44.0,Male,PhD,Senior Data Scientist,16.0,160000.0
1299,30.0,Female,Bachelor's Degree,Junior Operations Coordinator,2.0,40000.0
1300,37.0,Male,Bachelor's Degree,Senior Marketing Analyst,9.0,100000.0
1301,48.0,Female,Master's Degree,Director Of Hr,20.0,180000.0
1302,31.0,Male,Bachelor's Degree,Junior Project Manager,3.0,55000.0
1303,38.0,Female,Bachelor's Degree,Senior Operations Coordinator,9.0,120000.0
1304,45.0,Male,PhD,Senior Data Engineer,16.0,150000.0
1305,33.0,Female,Bachelor's Degree,Junior Marketing Manager,5.0,70000.0
1306,36.0,Male,Bachelor's Degree,Senior Business Analyst,8.0,95000.0
1307,49.0,Female,Master's Degree,Director Of Marketing,21.0,180000.0
1308,31.0,Male,Bachelor's Degree,Junior Operations Analyst,3.0,50000.0
1309,42.0,Female,Bachelor's Degree,Senior Project Manager,12.0,120000.0
1310,47.0,Male,Master's Degree,Director Of Marketing,19.0,170000.0
1311,29.0,Female,Bachelor's Degree,Junior Business Development Associate,1.5,35000.0
1312,35.0,Male,Bachelor's Degree,Senior Financial Manager,9.0,100000.0
1313,44.0,Female,PhD,Senior Product Designer,15.0,150000.0
1314,33.0,Male,Bachelor's Degree,Junior Business Analyst,4.0,60000.0
1315,35.0,Female,Bachelor's Degree,Senior Marketing Analyst,8.0,85000.0
1316,44.0,Male,Bachelor's Degree,Senior Software Engineer,13.0,130000.0
1317,34.0,Female,Master's Degree,Senior Financial Advisor,6.0,80000.0
1318,36.0,Male,Bachelor's Degree,Senior Marketing Specialist,8.0,95000.0
1319,30.0,Female,Bachelor's Degree,Junior Hr Coordinator,2.0,40000.0
1320,37.0,Male,Bachelor's Degree,Senior Business Development Manager,10.0,120000.0
1321,45.0,Female,Master's Degree,Senior Marketing Manager,16.0,160000.0
1322,32.0,Male,Bachelor's Degree,Junior Financial Advisor,4.0,65000.0
1323,39.0,Female,Bachelor's Degree,Senior Project Manager,12.0,130000.0
1324,47.0,Male,PhD,Director Of Engineering,20.0,180000.0
1325,29.0,Female,Bachelor's Degree,Junior Marketing Analyst,2.0,40000.0
1326,36.0,Male,Bachelor's Degree,Senior Operations Manager,9.0,100000.0
1327,43.0,Female,PhD,Senior Data Scientist,15.0,150000.0
1328,32.0,Male,Bachelor's Degree,Junior Marketing Coordinator,3.0,55000.0
1329,38.0,Female,Bachelor's Degree,Senior Business Analyst,10.0,110000.0
1330,48.0,Male,Master's Degree,Director Of Marketing,21.0,180000.0
1331,31.0,Female,Bachelor's Degree,Junior Business Development Associate,3.0,50000.0
1332,40.0,Male,Bachelor's Degree,Senior Financial Analyst,12.0,130000.0
1333,45.0,Female,PhD,Senior Ux Designer,16.0,160000.0
1334,33.0,Male,Bachelor's Degree,Junior Product Manager,4.0,60000.0
1335,36.0,Female,Bachelor's Degree,Senior Marketing Manager,8.0,95000.0
1336,47.0,Male,Master's Degree,Director Of Operations,19.0,170000.0
1337,29.0,Female,Bachelor's Degree,Junior Project Manager,2.0,40000.0
1338,34.0,Male,Bachelor's Degree,Senior Operations Coordinator,7.0,90000.0
1339,44.0,Female,PhD,Senior Business Analyst,15.0,150000.0
1340,33.0,Male,Bachelor's Degree,Junior Marketing Specialist,5.0,70000.0
1341,35.0,Female,Bachelor's Degree,Senior Financial Manager,8.0,90000.0
1342,43.0,Male,Master's Degree,Director Of Marketing,18.0,170000.0
1343,31.0,Female,Bachelor's Degree,Junior Financial Analyst,3.0,50000.0
1344,41.0,Male,Bachelor's Degree,Senior Product Manager,14.0,150000.0
1345,44.0,Female,PhD,Senior Data Engineer,16.0,160000.0
1346,33.0,Male,Bachelor's Degree,Junior Business Analyst,4.0,60000.0
1347,35.0,Female,Bachelor's Degree,Senior Marketing Analyst,8.0,85000.0
1348,45.0,Male,Master's Degree,Director Of Engineering,19.0,180000.0
1349,28.0,Female,Bachelor's Degree,Junior Operations Manager,1.0,35000.0
1350,36.0,Male,Bachelor's Degree,Senior Business Development Manager,8.0,110000.0
1351,44.0,Female,PhD,Senior Data Scientist,16.0,160000.0
1352,31.0,Male,Bachelor's Degree,Junior Marketing Coordinator,3.0,55000.0
1353,38.0,Female,Bachelor's Degree,Senior Business Analyst,10.0,110000.0
1354,48.0,Male,Master's Degree,Director Of Marketing,21.0,180000.0
1355,31.0,Female,Bachelor's Degree,Junior Business Development Associate,3.0,50000.0
1356,40.0,Male,Bachelor's Degree,Senior Financial Analyst,12.0,130000.0
1357,45.0,Female,PhD,Senior Ux Designer,16.0,160000.0
1358,33.0,Male,Bachelor's Degree,Junior Product Manager,4.0,60000.0
1359,36.0,Female,Bachelor's Degree,Senior Marketing Manager,8.0,95000.0
1360,47.0,Male,Master's Degree,Director Of Operations,19.0,170000.0
1361,29.0,Female,Bachelor's Degree,Junior Project Manager,2.0,40000.0
1362,34.0,Male,Bachelor's Degree,Senior Operations Coordinator,7.0,90000.0
1363,44.0,Female,PhD,Senior Business Analyst,15.0,150000.0
1364,33.0,Male,Bachelor's Degree,Junior Marketing Specialist,5.0,70000.0
1365,35.0,Female,Bachelor's Degree,Senior Financial Manager,8.0,90000.0
1366,43.0,Male,Master's Degree,Director Of Marketing,18.0,170000.0
1367,31.0,Female,Bachelor's Degree,Junior Financial Analyst,3.0,50000.0
1368,41.0,Male,Bachelor's Degree,Senior Product Manager,14.0,150000.0
1369,44.0,Female,PhD,Senior Data Engineer,16.0,160000.0
1370,33.0,Male,Bachelor's Degree,Junior Business Analyst,4.0,60000.0
1371,35.0,Female,Bachelor's Degree,Senior Marketing Analyst,8.0,85000.0
1372,43.0,Male,Master's Degree,Director Of Operations,19.0,170000.0
1373,29.0,Female,Bachelor's Degree,Junior Project Manager,2.0,40000.0
1374,34.0,Male,Bachelor's Degree,Senior Operations Coordinator,7.0,90000.0
1375,44.0,Female,PhD,Senior Business Analyst,15.0,150000.0
1376,31.0,Male,Master's Degree,Data Scientist,6.0,160000.0
1377,28.0,Female,Bachelor's Degree,Software Engineer,3.0,125000.0
1378,26.0,Male,Master's Degree,Product Manager,2.0,120000.0
1379,27.0,Female,Bachelor's Degree,Data Analyst,2.0,110000.0
